WLHID,Serial.No,AnimalID,UniqueID
Unk,15112,Elk01,15112_Unk_2015-01-08
Unk,15113,Elk02,15113_Unk_2015-01-27
Unk,15114,Elk03,15114_Unk_2015-01-05
Unk,15114,Elk04,15114_Unk_2017-01-10
Unk,15116,Elk05,15116_Unk_2015-01-05
Unk,15117,Elk06,15117_Unk_2015-01-05
Unk,15118,Elk07,15118_Unk_2015-01-27
Unk,15119,Elk08,15119_Unk_2015-01-08
Unk,15120,Elk09,15120_Unk_2014-12-03
Unk,15120,Elk10,15120_Unk_2017-01-10
18-11024,22585,Elk11,22585_18-11024_2018-03-14
16-8257,22586,Elk12,22586_16-8257_2017-04-04
16-8261,22587,Elk13,22587_16-8261_2017-04-11
18-11025,22587,Elk14,22587_18-11025_2018-03-17
18-11023,22588,Elk15,22588_18-11023_2018-03-14
18-11027,22589,Elk16,22589_18-11027_2018-03-17
18-11022,22590,Elk17,22590_18-11022_2018-03-12
18-11031,22591,Elk18,22591_18-11031_2018-03-27
Unk,22592,Elk19,22592_Unk_2017-01-24
Unk,22593,Elk20,22593_Unk_2017-01-24
18-11028,22594,Elk21,22594_18-11028_2018-03-18
16-8254,22595,Elk22,22595_16-8254_2017-03-27
16-8256,22596,Elk23,22596_16-8256_2017-03-30
18-11030,22597,Elk24,22597_18-11030_2018-03-21
18-11026,22598,Elk25,22598_18-11026_2018-03-17
16-8260,22599,Elk26,22599_16-8260_2017-04-11
16-8258,22600,Elk27,22600_16-8258_2017-04-04
16-8259,22601,Elk28,22601_16-8259_2017-04-04
16-8255,22602,Elk29,22602_16-8255_2017-03-30
18-11029,22603,Elk30,22603_18-11029_2018-03-20
16-8253,22604,Elk31,22604_16-8253_2017-03-20
18-11032,22605,Elk32,22605_18-11032_2018-03-28
18-13509,31073,Elk33,31073_18-13509_2019-03-13
18-13828,31074,Elk34,31074_18-13828_2019-03-19
18-13830,31075,Elk35,31075_18-13830_2019-03-19
18-13837,31076,Elk36,31076_18-13837_2019-03-26
18-13834,31095,Elk37,31095_18-13834_2019-03-25
18-13510,31097,Elk38,31097_18-13510_2019-03-14
18-13835,31098,Elk39,31098_18-13835_2019-03-25
Unk,31202,Elk40,31202_Unk_2011-04-08
Unk,31203,Elk41,31203_Unk_2011-04-12
18-13508,31534,Elk42,31534_18-13508_2019-03-12
18-13829,31535,Elk43,31535_18-13829_2019-03-19
18-13832,31536,Elk44,31536_18-13832_2019-03-20
18-13833,31544,Elk45,31544_18-13833_2019-03-20
18-13836,31545,Elk46,31545_18-13836_2019-03-26
Unk,31731,Elk47,31731_Unk_2012-04-10
Unk,31733,Elk48,31733_Unk_2012-01-10
Unk,31734,Elk49,31734_Unk_2012-04-04
Unk,31737,Elk50,31737_Unk_2011-12-28
Unk,31737,Elk51,31737_Unk_2012-08-20
Unk,32432,Elk52,32432_Unk_2014-01-04
Unk,32433,Elk53,32433_Unk_2013-12-15
Unk,32434,Elk54,32434_Unk_2014-01-04
Unk,34474,Elk55,34474_Unk_2015-02-26
Unk,34475,Elk56,34475_Unk_2015-03-18
Unk,34476,Elk57,34476_Unk_2015-03-18
Unk,34477,Elk58,34477_Unk_2015-03-24
Unk,34480,Elk59,34480_Unk_2015-02-25
Unk,34481,Elk60,34481_Unk_2016-01-11
Unk,34482,Elk61,34482_Unk_2015-02-10
Unk,34483,Elk62,34483_Unk_2015-02-24
Unk,34484,Elk63,34484_Unk_2015-03-23
Unk,34485,Elk64,34485_Unk_2015-02-26
Unk,34486,Elk65,34486_Unk_2015-03-24
Unk,34487,Elk66,34487_Unk_2015-02-25
Unk,34488,Elk67,34488_Unk_2015-03-23
Unk,34904,Elk68,34904_Unk_2016-02-14
Unk,34906,Elk69,34906_Unk_2016-01-05
16-8249,34911,Elk70,34911_16-8249_2016-03-07
Unk,34912,Elk71,34912_Unk_2016-01-05
16-8251,35025,Elk72,35025_16-8251_2016-03-22
16-8250,35026,Elk73,35026_16-8250_2016-03-11
16-8252,35028,Elk74,35028_16-8252_2016-03-11
Unk,Unk,Elk75,Unk_Unk_2012-01-10
Unk,Unk,Elk76,Unk_Unk_2012-08-21
Unk,Unk,Elk77,Unk_Unk_2013-01-01
Unk,Unk,Elk78,Unk_Unk_2013-01-09
Unk,Unk,Elk79,Unk_Unk_2013-03-21
Unk,Unk,Elk80,Unk_Unk_2013-03-25
